"Channel","Simulated","Experimental","Energy (keV)","16O (RBS)","17O (RBS)","18O (RBS)","28Si (RBS)","29Si (RBS)","30Si (RBS)","197Au (RBS)"
223,8.933656e+02,957,402.588,1.671738e+02,6.587340e-02,3.597238e-01,6.690634e+02,3.411589e+01,2.258697e+01,0
224,8.917764e+02,880,404.301,1.668514e+02,6.574632e-02,3.590279e-01,6.678965e+02,3.405630e+01,2.254746e+01,0
225,8.902010e+02,890,406.014,1.665310e+02,6.562044e-02,3.583361e-01,6.667405e+02,3.399727e+01,2.250828e+01,0
226,8.886377e+02,913,407.727,1.662114e+02,6.549532e-02,3.576487e-01,6.655949e+02,3.393878e+01,2.246944e+01,0
227,8.870875e+02,921,409.44,1.658937e+02,6.537106e-02,3.569646e-01,6.644597e+02,3.388086e+01,2.243097e+01,0
228,8.855484e+02,902,411.153,1.655783e+02,6.524718e-02,3.562838e-01,6.633322e+02,3.382347e+01,2.239283e+01,0
229,8.840197e+02,878,412.866,1.652655e+02,6.512392e-02,3.556073e-01,6.622119e+02,3.376651e+01,2.235504e+01,0
230,8.824995e+02,885,414.579,1.649557e+02,6.500145e-02,3.549368e-01,6.610964e+02,3.370995e+01,2.231750e+01,0
231,8.809885e+02,976,416.292,1.646481e+02,6.487984e-02,3.542719e-01,6.599875e+02,3.365364e+01,2.228020e+01,0
232,8.794883e+02,878,418.005,1.643430e+02,6.475924e-02,3.536141e-01,6.588863e+02,3.359761e+01,2.224306e+01,0
233,8.779992e+02,956,419.718,1.640394e+02,6.463943e-02,3.529616e-01,6.577941e+02,3.354193e+01,2.220610e+01,0
234,8.765221e+02,859,421.431,1.637380e+02,6.452057e-02,3.523154e-01,6.567113e+02,3.348664e+01,2.216938e+01,0
235,8.750584e+02,875,423.144,1.634392e+02,6.440227e-02,3.516734e-01,6.556384e+02,3.343178e+01,2.213294e+01,0
236,8.736077e+02,842,424.857,1.631432e+02,6.428476e-02,3.510365e-01,6.545751e+02,3.337739e+01,2.209677e+01,0
237,8.721691e+02,902,426.569,1.628502e+02,6.416819e-02,3.504056e-01,6.535200e+02,3.332342e+01,2.206092e+01,0
238,8.707412e+02,901,428.282,1.625595e+02,6.405280e-02,3.497809e-01,6.524727e+02,3.326991e+01,2.202536e+01,0
239,8.693220e+02,890,429.995,1.622714e+02,6.393855e-02,3.491624e-01,6.514307e+02,3.321675e+01,2.199010e+01,0
240,8.679109e+02,918,431.708,1.619848e+02,6.382547e-02,3.485493e-01,6.503948e+02,3.316391e+01,2.195508e+01,0
241,8.665105e+02,932,433.421,1.617004e+02,6.371341e-02,3.479410e-01,6.493669e+02,3.311131e+01,2.192027e+01,0
242,8.651224e+02,882,435.134,1.614188e+02,6.360217e-02,3.473359e-01,6.483480e+02,3.305906e+01,2.188565e+01,0
243,8.637475e+02,950,436.847,1.611402e+02,6.349165e-02,3.467336e-01,6.473386e+02,3.300721e+01,2.185128e+01,0
244,8.623868e+02,821,438.56,1.608648e+02,6.338199e-02,3.461345e-01,6.463395e+02,3.295585e+01,2.181721e+01,0
245,8.610390e+02,849,440.273,1.605919e+02,6.327341e-02,3.455398e-01,6.453498e+02,3.290498e+01,2.178347e+01,0
246,8.597041e+02,854,441.986,1.603219e+02,6.316579e-02,3.449489e-01,6.443694e+02,3.285464e+01,2.175009e+01,0
